code	val1	stat1	stat2	stat3	stat4	stat5	stat6	stat7
map-mon-skillondeath		map_mon_skillondeath						
map-play-maxhp-percent		map_play_maxhp_percent						
map-play-maxmana-percent		map_play_maxmana_percent						
map-play-damageresist		map_play_damageresist						
map-play-velocitypercent		map_play_velocitypercent						
map-mon-pierce-all		map_mon_passive_fire_pierce	map_mon_passive_ltng_pierce	map_mon_passive_cold_pierce	map_mon_passive_pois_pierce			
map-mon-nofreeze-hp%		map_mon_cannotbefrozen	map_mon_maxhp_percent					
map-play-swing-cast		map_play_fasterattackrate	map_play_fastercastrate					
map-play-hp%-mp%		map_play_maxhp_percent	map_play_maxmana_percent					
map-play-speed-all		map_play_fasterattackrate	map_play_fastercastrate	map_play_velocitypercent				
map-play-mag		map_play_magicbonus						
map-play-gold		map_play_goldbonus						
