code	stat1	stat2	stat3	stat4	stat5	stat6	stat7	*desc
map-mon-extra-ltng	map_mon_passive_ltng_mastery							
map-mon-extra-cold	map_mon_passive_cold_mastery							
map-mon-extra-pois	map_mon_passive_pois_mastery							
map-mon-att-cast-speed	map_mon_fasterattackrate	map_mon_fastercastrate						
map-mon-att-pierce	map_mon_tohit	map_mon_pierce						
map-mon-ac%	map_mon_ac%							
map-mon-abs-fire%	map_mon_absorbcold_percent							
map-mon-abs-ltng%	map_mon_absorbmagic_percent							
map-mon-abs-mag%	map_mon_absorblight_percent							
map-mon-abs-cold%	map_mon_absorbfire_percent							
map-mon-red-dmg	map_mon_normal_damage_reduction							
map-mon-velocity%	map_mon_velocitypercent							
map-mon-regen	map_mon_hpregen							
map-mon-lifesteal-hp%	map_mon_lifedrainmindam	map_mon_maxhp_percent						
map-mon-balance1	map_mon_fastergethitrate							
map-mon-hp%	map_mon_maxhp_percent							
map-mon-openwounds	map_mon_openwounds							
map-mon-crush	map_mon_crushingblow							
map-mon-curseresist-hp%	map_mon_curse_resistance	map_mon_maxhp_percent						
map-play-ac%	map_play_ac%							
map-play-balance1	map_play_fastergethitrate							
map-play-block	map_play_toblock							
map-play-regen	map_play_hpregen							
map-mon-pierce-fire	map_mon_passive_fire_pierce							Negates % of Enemy Cold Resistance
map-mon-pierce-ltng	map_mon_passive_ltng_pierce							Negates % of Enemy Fire Resistance
map-mon-pierce-cold	map_mon_passive_cold_pierce							Negates % of Enemy Lightning Resistance
map-mon-pierce-pois	map_mon_passive_pois_pierce							Negates % of Enemy Poison Resistance
map-play-res-all	map_play_fireresist	map_play_lightresist	map_play_coldresist	map_play_poisonresist				
map-play-res-all-max	map_play_maxfireresist	map_play_maxlightresist	map_play_maxcoldresist	map_play_maxpoisonresist				
map-mon-ed%	map_mon_ed%							
map-mon-splash	map_mon_splash							splash
rep-charge	item_replenish_charges							regenerates charges
leapspeed	item_leap_speed							increases leap/leap attack speed
maxcurse	max_curses							+ to max curses
randelemskill	item_elemskill							
curse-res	curse_resistance							
heal-hit	item_healafterhit							life gained after each hit
randclassskill1	item_addclassskills							
map-mon-phys-as-extra-ltng	map_mon_phys_as_extra_ltng							
map-mon-phys-as-extra-cold	map_mon_phys_as_extra_cold							
map-mon-phys-as-extra-fire	map_mon_phys_as_extra_fire							
map-mon-phys-as-extra-pois	map_mon_phys_as_extra_pois							
map-mon-phys-as-extra-mag	map_mon_phys_as_extra_mag							
map-glob-add-mon-doll	map_glob_add_mon_doll							
map-glob-add-mon-succ	map_glob_add_mon_succ							
map-glob-add-mon-vamp	map_glob_add_mon_vamp							
map-glob-add-mon-cow	map_glob_add_mon_cow							
map-glob-add-mon-horde	map_glob_add_mon_horde							
map-glob-add-mon-ghost	map_glob_add_mon_ghost							
extra-bonespears	extra_bonespears							
extra-revives	extra_revives							
extra-spirits	extra_spirits							
pierce-phys	passive_phys_pierce							Negates % of Enemy Phys Resistance
immune-prop	immune_stat							
map-mon-deadlystrike	map_mon_deadlystrike							
map-mon-cannotbefrozen	map_mon_cannotbefrozen							
map-play-fasterattackrate	map_play_fasterattackrate							
map-play-fastercastrate	map_play_fastercastrate							
map-mon-skillondeath	map_mon_skillondeath							
map-play-maxhp-percent	map_play_maxhp_percent							
map-play-maxmana-percent	map_play_maxmana_percent							
map-play-damageresist	map_play_damageresist							
map-play-velocitypercent	map_play_velocitypercent							
map-mon-pierce-all	map_mon_passive_fire_pierce	map_mon_passive_ltng_pierce	map_mon_passive_cold_pierce	map_mon_passive_pois_pierce				Negates % of Enemy Cold Resistance
map-mon-nofreeze-hp%	map_mon_cannotbefrozen	map_mon_maxhp_percent						
map-play-swing-cast	map_play_fasterattackrate	map_play_fastercastrate						
map-play-hp%-mp%	map_play_maxhp_percent	map_play_maxmana_percent						
map-play-speed-all	map_play_fasterattackrate	map_play_fastercastrate	map_play_velocitypercent					
map-play-mag	map_play_magicbonus							
map-play-gold	map_play_goldbonus							
